Vuosi,"Sähkön tuotanto ja kulutus, GWh",Tiedot,value
2000,YDINVOIMA,"Määrä, GWh",21575
2000,YDINVOIMA,Vuosimuutos %,
2000,YDINVOIMA,Osuus kokonaiskulutuksesta %,27.3
2000,YDINVOIMA,"Osuus kokonaistuotannosta, %",32.1
2000,Öljy (Fossiilinen polttoaine),"Määrä, GWh",541
2000,Öljy (Fossiilinen polttoaine),Vuosimuutos %,
2000,Öljy (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.7
2000,Öljy (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",0.8
2000,Kivihiili (Fossiilinen polttoaine),"Määrä, GWh",7974
2000,Kivihiili (Fossiilinen polttoaine),Vuosimuutos %,
2000,Kivihiili (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,10.1
2000,Kivihiili (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",11.9
2000,Maakaasu (Fossiilinen polttoaine),"Määrä, GWh",9856
2000,Maakaasu (Fossiilinen polttoaine),Vuosimuutos %,
2000,Maakaasu (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,12.4
2000,Maakaasu (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",14.6
2000,Muut fossiiliset (Fossiilinen polttoaine),"Määrä, GWh",723
2000,Muut fossiiliset (Fossiilinen polttoaine),Vuosimuutos %,
2000,Muut fossiiliset (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.9
2000,Muut fossiiliset (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",1.1
2000,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Määrä, GWh",19094
2000,FOSSIILISET POLTTOAINEET YHTEENSÄ,Vuosimuutos %,
2000,FOSSIILISET POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,24.1
2000,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",28.4
2000,Turve,"Määrä, GWh",3690
2000,Turve,Vuosimuutos %,
2000,Turve,Osuus kokonaiskulutuksesta %,4.7
2000,Turve,"Osuus kokonaistuotannosta, %",5.5
2000,FOSSIILISET JA TURVE YHTEENSÄ,"Määrä, GWh",22783
2000,FOSSIILISET JA TURVE YHTEENSÄ,Vuosimuutos %,
2000,FOSSIILISET JA TURVE YHTEENSÄ,Osuus kokonaiskulutuksesta %,28.8
2000,FOSSIILISET JA TURVE YHTEENSÄ,"Osuus kokonaistuotannosta, %",33.9
2000,Vesivoima (Uusiutuva energialähde),"Määrä, GWh",14453
2000,Vesivoima (Uusiutuva energialähde),Vuosimuutos %,
