Vuosi_code,Vuosi_label,"Sähkön tuotanto ja kulutus, GWh_code","Sähkön tuotanto ja kulutus, GWh_label",Tiedot_code,Tiedot_label,value
2000,2000,01,YDINVOIMA,arvogwh,"Määrä, GWh",21575
2000,2000,01,YDINVOIMA,vv_muutos,Vuosimuutos %,
2000,2000,01,YDINVOIMA,osuuskk,Osuus kokonaiskulutuksesta %,27.3
2000,2000,01,YDINVOIMA,osuuskt,"Osuus kokonaistuotannosta, %",32.1
2000,2000,02,Öljy (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",541
2000,2000,02,Öljy (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,
2000,2000,02,Öljy (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,0.7
2000,2000,02,Öljy (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",0.8
2000,2000,03,Kivihiili (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",7974
2000,2000,03,Kivihiili (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,
2000,2000,03,Kivihiili (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,10.1
2000,2000,03,Kivihiili (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",11.9
2000,2000,04,Maakaasu (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",9856
2000,2000,04,Maakaasu (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,
2000,2000,04,Maakaasu (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,12.4
2000,2000,04,Maakaasu (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",14.6
2000,2000,05,Muut fossiiliset (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",723
2000,2000,05,Muut fossiiliset (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,
2000,2000,05,Muut fossiiliset (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,0.9
2000,2000,05,Muut fossiiliset (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",1.1
2000,2000,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,arvogwh,"Määrä, GWh",19094
2000,2000,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,vv_muutos,Vuosimuutos %,
2000,2000,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,24.1
2000,2000,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",28.4
2000,2000,07,Turve,arvogwh,"Määrä, GWh",3690
2000,2000,07,Turve,vv_muutos,Vuosimuutos %,
2000,2000,07,Turve,osuuskk,Osuus kokonaiskulutuksesta %,4.7
2000,2000,07,Turve,osuuskt,"Osuus kokonaistuotannosta, %",5.5
2000,2000,08,FOSSIILISET JA TURVE YHTEENSÄ,arvogwh,"Määrä, GWh",22783
2000,2000,08,FOSSIILISET JA TURVE YHTEENSÄ,vv_muutos,Vuosimuutos %,
2000,2000,08,FOSSIILISET JA TURVE YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,28.8
2000,2000,08,FOSSIILISET JA TURVE YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",33.9
2000,2000,09,Vesivoima (Uusiutuva energialähde),arvogwh,"Määrä, GWh",14453
2000,2000,09,Vesivoima (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,
2000,2000,09,Vesivoima (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,18.3
2000,2000,09,Vesivoima (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",21.5
2000,2000,10,Tuulivoima (Uusiutuva energialähde),arvogwh,"Määrä, GWh",77
2000,2000,10,Tuulivoima (Uusiutuva energialähde),vv_muutos,Vuosimuutos %,
2000,2000,10,Tuulivoima (Uusiutuva energialähde),osuuskk,Osuus kokonaiskulutuksesta %,0.1
2000,2000,10,Tuulivoima (Uusiutuva energialähde),osuuskt,"Osuus kokonaistuotannosta, %",0.1
